poiID,avgDuration,nVisit,poiCat,poiLon,poiLat,popularity
1,3696.14606741573,89,Amusement,135.4289382878105,34.65479175959366,69
2,1532.204081632653,49,Amusement,135.4306267944665,34.65614490909093,39
3,4450.041666666667,24,Amusement,135.50855763940035,34.65242308514182,20
4,8226.625,32,Amusement,135.4336271953132,34.66475830078134,27
5,1247.03738317757,107,Amusement,135.4998940285709,34.703680330158626,65
6,2513.3451327433627,113,Amusement,135.49013254999943,34.705322627272615,84
7,1602.867924528302,53,Park,135.50696077664924,34.69266442131975,31
8,2074.777777777778,144,Park,135.52582424865906,34.68653437337396,128
9,105.5,2,Park,135.48880599999998,34.612893,2
10,2763.8888888888887,18,Park,135.51043665534092,34.65104219417449,14
11,1895.047619047619,21,Park,135.4938540819672,34.68545975409837,8
12,1322.0,9,Park,135.52128527777776,34.61132941666667,7
15,2035.8,35,Historical,135.5164392663755,34.65409199563325,20
16,3312.3571428571427,14,Historical,135.49256448076923,34.612657000000006,12
17,180.0,1,Historical,135.52994,34.677756666666674,1
18,2303.969696969697,33,Historical,135.51246823934412,34.695621363934485,17
19,173.88888888888889,9,Entertainment,135.4796296190476,34.66778380952381,7
20,2461.0342465753424,146,Entertainment,135.5009323832682,34.66742997665371,107
21,1737.5590551181103,127,Entertainment,135.500556111111,34.67239257239053,68
22,1885.943661971831,71,Entertainment,135.5061961355934,34.652166481840126,58
23,920.3913043478261,23,Entertainment,135.50561435294117,34.660004392156864,17
24,545.8913043478261,46,Entertainment,135.49807975999988,34.67208495200003,34
25,687.4814814814815,27,Entertainment,135.48224743939394,34.72006954545454,13
26,1176.4074074074074,135,Entertainment,139.76896139828057,35.675154257879626,72
27,0.0,3,Entertainment,135.501092,34.65772466666667,3
28,1113.6410256410256,39,Entertainment,135.50244797297296,34.70325674324324,27
29,0.0,2,Entertainment,135.50583799999998,34.644641,2
